,beg,end,strat_buy_and_hold,strat_equally_weighted,strat_max_Sharpe,strat_max_Sharpe_eff,strat_min_variance
0,2015-01-02,2015-02-27,"$1,043,785.08","$1,043,785.08","$1,043,785.08","$1,043,785.08","$1,043,785.08"
1,2015-03-02,2015-04-30,"$1,069,877.19","$1,035,032.43","$1,015,544.18","$1,022,107.97","$1,036,096.51"
2,2015-05-01,2015-06-30,"$1,027,659.63","$1,013,712.88","$1,004,371.10","$1,018,399.93","$991,923.59"
3,2015-07-01,2015-08-31,"$947,793.98","$964,932.73","$932,848.61","$961,898.59","$982,444.18"
4,2015-09-01,2015-10-30,"$1,027,307.87","$1,055,635.68","$1,091,969.60","$1,076,117.54","$1,020,642.16"
5,2015-11-02,2015-12-31,"$1,003,328.46","$1,070,651.04","$1,081,535.80","$1,075,488.99","$1,025,539.32"
6,2016-01-04,2016-02-29,"$970,570.87","$985,792.65","$1,003,167.17","$1,036,835.27","$1,075,681.32"
7,2016-03-01,2016-04-29,"$975,547.52","$1,086,281.05","$1,124,272.56","$1,150,702.88","$1,111,038.78"
8,2016-05-02,2016-06-30,"$1,000,838.49","$1,144,408.81","$1,100,290.62","$1,146,066.34","$1,205,478.38"
9,2016-07-01,2016-08-31,"$1,067,751.34","$1,263,203.59","$1,304,190.24","$1,308,373.81","$1,177,073.49"
10,2016-09-01,2016-10-31,"$1,090,939.15","$1,266,106.97","$1,276,381.82","$1,281,515.24","$1,098,387.72"
11,2016-11-01,2016-12-30,"$1,173,675.24","$1,405,386.28","$1,302,411.70","$1,330,898.53","$1,212,365.46"
